OBJECTID,REGION_NAME,ROUTE_NAME,ROUTE_CODE,MDU_NAME,MDU_CODE,SHAPE_Length,SHAPE_Area
"1",North West & Central,LNW North,HR,Liverpool MDU - HR4,HR4,556861.545855125,2447162626.46628
"2",Southern,Kent,HK,Ashford MDU,HK6,577082.331384918,2675829111.41113
"3",Eastern,East Coast,HE,Peterborough MDU - HE2,HE2,199402.848005438,294948463.96912
"4",Eastern,East Midlands,HM,Bedford MDU,HM8,417268.924565062,3342794218.43721
"5",Eastern,Anglia,HT,Tottenham MDU,HT8,811669.505797012,8684251668.84305
"6",Eastern,Anglia,HT,Ipswich MDU,HT7,1253259.26125318,6605421699.27697
"7",Eastern,North and East,HF,York MDU - HF7,HF7,161205.163827749,1012656995.94493
"8",Wales & Western,Wales,HC,EXT CVL DU - HC8,HC8,195157.377779423,1033508456.10687
"9",North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,924203.657083633,6007992387.09604
"10",North West & Central,LNW North,HR,Manchester MDU - HR5,HR5,299663.393373994,2665132593.45517
"11",Eastern,North and East,HF,Middlesbrough MDU - HF1,HF1,537197.650394452,6185441386.86753
"12",Scotland,Scotland,HL,Perth MDU,HL2,2855611.36311192,33772299395.846
"13",Southern,Wessex,HW,Wessex Outer MDU,HW4,1087231.47466081,9223270333.0115
"14",Eastern,East Coast,HE,Darlington MDU - HE1,HE1,400885.758706271,2423718422.20674
"15",Southern,Sussex,HU,Brighton MDU,HU4,451532.521470734,3359494733.00779
"16",Eastern,East Coast,HE,Kings Cross MDU - HE4,HE4,197981.556117841,441431601.880566
"17",Wales & Western,Western,HD,Western West MDU,HD8,2021321.22021505,14499847052.8012
"18",Eastern,East Coast,HE,Newcastle MDU - HE8,HE8,527848.474024399,1707576186.87589
"19",North West & Central,LNW South,HS,Bletchley MDU - HS8,HS8,298468.077881089,2038387454.99023
"20",North West & Central,LNW South,HS,Euston MDU - HS9,HS9,176481.954378741,452828898.878282
"21",Southern,Wessex,HW,Wessex Inner MDU,HW2,317974.609589926,1490688057.52591
"22",Eastern,North and East,HF,Sheffield MDU - HF4,HF4,650840.775826685,3811256941.63235
"23",Scotland,Scotland,HL,Glasgow MDU,HL5,2199634.37376975,13947368678.2909
"24",North West & Central,LNW North,HR,Lanc&Cumbria MDU-HR1,HR1,1264808.43922417,10583180858.7602
"25",North West & Central,LNW South,HS,Stafford MDU - HS0,HS0,441824.62223211,1849359520.25813
"26",Southern,Kent,HK,Orpington MDU,HK5,313947.151444917,1572968486.65417
"27",Southern,Kent,HK,Lon Bridge MDU,HK4,270349.792990181,390198656.682427
"28",Southern,Channel Tunnel Rail Link,QQ,CTRL,,231924.278719979,2024427.3504187
"29",Eastern,North and East,HF,York MDU - HF7,HF7,576464.959008379,5139044904.0369
"30",Wales & Western,Wales,HC,Shrewsbury MDU,HC7,1484915.8094845,19466115637.4534
"31",Scotland,Scotland,HL,Motherwell MDU,HL4,1146323.95273543,13910905843.1421
"32",North West & Central,LNW South,HS,S/wel& Dud MDU - HS7,HS7,367160.693509097,1554330704.97416
"33",Eastern,North and East,HF,Leeds MDU - HF6,HF6,373789.966768187,2449961516.60335
"34",Eastern,East Midlands,HM,Derby MDU,HM9,935870.153155532,10202131630.3016
"35",Southern,High Speed 1,ZA,HS1,,878.607530450088,4219.74749049133
"36",Eastern,Anglia,HT,Romford MDU,HT6,567714.528189722,1338125514.25133
"37",Eastern,East Coast,HE,Doncaster MDU - HE3,HE3,294277.893244613,848014855.46158
"38",Wales & Western,Western,HD,Western Central MDU,HD6,615681.177462499,6296506358.61431
"39",Scotland,Scotland,HL,Edinburgh MDU,HL3,855431.534321275,6851948058.70128
"40",Wales & Western,Western,HD,Western East MDU,HD7,276089.162839746,1365583771.12069
"41",Southern,Sussex,HU,Croydon MDU,HU3,180470.746479107,467100403.612545
"42",Wales & Western,Wales,HC,Cardiff MDU,HC6,1457845.49336524,5231220820.1801
"43",Southern,Wessex,HW,Wessex Outer MDU,HW4,168612.092910424,380768233.334098
"44",Eastern,North and East,HF,Middlesbrough MDU - HF1,HF1,109667.097250838,177957930.791788
"45",Eastern,North and East,HF,Middlesbrough MDU - HF1,HF1,363094.948177263,1499557527.03087
