OBJECTID,REGION_NAM,ROUTE_NAME,ROUTE_CODE,MDU_NAME,MDU_CODE,TME_NAME,TME_CODE,SHAPE_Leng,SHAPE_Area
1,Scotland,Scotland,HL,Glasgow MDU,HL5,TME Glasgow,HL5003,2007823.303786570671946,12531311164.527809143066406
2,Scotland,Scotland,HL,Glasgow MDU,HL5,TME Central(Glasgow),HL5006,116541.971651982486947,343542053.799353182315826
3,North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Worcester,HS6012,207582.074002918379847,1169780001.344644308090210
4,North West & Central,LNW North,HR,Liverpool MDU - HR4,HR4,TME Liverpool,HR4200,467778.476985320390668,1189733846.051765441894531
5,North West & Central,LNW North,HR,Lanc&Cumbria MDU-HR1,HR1,TME Preston,HR1100,364442.675300729053561,902235213.596268534660339
6,North West & Central,LNW North,HR,Lanc&Cumbria MDU-HR1,HR1,TME Carnforth,HR1300,354959.753847151412629,1638141640.476713418960571
7,Eastern,East Coast,HE,Newcastle MDU - HE8,HE8,TME Morpeth,HE8068,349385.340325459314045,870876414.207384586334229
8,Southern,Wessex,HW,Wessex Inner MDU,HW2,TME Clapham,HW2081,59338.701751901193347,45302271.292461462318897
9,Southern,Kent,HK,Lon Bridge MDU,HK4,TME London Bridge,HK4027,58432.490994065912673,34998706.106467530131340
10,Eastern,Anglia,HT,Tottenham MDU,HT8,TME Tottenham,HT8036,417007.227014421834610,2307446936.168845653533936
11,Southern,Channel Tunnel Rail Link,QQ,CTRL,,CTRL,,231924.278719979018206,2024427.350418698973954
12,Eastern,East Coast,HE,Doncaster MDU - HE3,HE3,TME Doncaster,HE3023,294277.893244612554554,848014855.461579561233521
13,Southern,Kent,HK,Ashford MDU,HK6,TME Ashford,HK6030,275308.063874932006001,1150638592.752963066101074
14,Wales & Western,Western,HD,Western West MDU,HD8,TME Exeter,HD8076,1042408.512322187307291,9022311205.421562194824219
15,Wales & Western,Western,HD,Western Central MDU,HD6,TME Swindon,HD6072,308802.159853496064898,2167298181.673543930053711
16,North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Saltley,HS6011,453664.431217957229819,2214438004.808942794799805
17,North West & Central,LNW South,HS,Stafford MDU - HS0,HS0,TME Nuneaton,HS0004,162136.118662982276874,284592961.619178116321564
18,North West & Central,LNW North,HR,Liverpool MDU - HR4,HR4,TME Warrington,HR4500,182630.533402714820113,645567954.767743468284607
19,Eastern,North and East,HF,York MDU - HF7,HF7,TME York,HF7066,161205.163827748503536,1012656995.944934248924255
20,Eastern,East Coast,HE,Newcastle MDU - HE8,HE8,TME Newcastle,HE8065,208496.868846377823502,836699772.668501734733582
21,Southern,Kent,HK,Orpington MDU,HK5,TME Tonbridge,HK5040,221067.378587010462070,1254626545.539679288864136
22,North West & Central,LNW South,HS,Bletchley MDU - HS8,HS8,TME Bletchley,HS8002,144556.838475076889154,577815020.344573259353638
23,Eastern,East Coast,HE,Peterborough MDU - HE2,HE2,TME Peterborough,HE2022,199402.848005438223481,294948463.969119608402252
24,Eastern,North and East,HF,York MDU - HF7,HF7,TME York,HF7066,387435.849560591159388,4123123726.477376937866211
