OBJECTID,REGION_NAME,ROUTE_NAME,ROUTE_CODE,MDU_NAME,MDU_CODE,TME_NAME,TME_CODE,TSM_NAME,TSM_CODE,SHAPE_Length,SHAPE_Area
"1",,,,,,,,NON NETWORK RAIL WEST,XD,1830.0892560277,23036.9835997358
"2",Wales & Western,Western,HD,Western West MDU,HD8,TME Exeter,HD8076,TSM Taunton,HD807686,939249.862387075,7215093696.48697
"3",Wales & Western,Wales,HC,Shrewsbury MDU,HC7,TME Hereford,HC7055,TSM Machynlleth,HC705512,490276.136341598,3463894784.41495
"4",,,,,,,,NON NETWORK RAIL WAL,XU,1164.4700645707,11004.678394863
"5",,,,,,,,NON NETWORK RAIL SCZ,XK,350.938230756797,822.334765211763
"6",,,,,,,,NON NETWORK RAIL SCZ,XK,2862.63581540944,17885.3060670594
"7",,,,,,,,NON NETWORK RAIL WEST,XD,946.761474798866,8730.34401987185
"8",,,,,,,,NON NETWORK RAIL WEST,XD,3554.25589539611,15009.8285645331
"9",,,,,,,,NON NETWORK RAIL WEST,XD,1526.74949724152,4252.04301508148
"10",,,,,,,,E W and S RAILWAY,DE,1554.42233320989,35375.8310473158
"11",,,,,,,,NON NETWORK RAIL WAL,XU,1878.15681797636,2369.82217648743
"12",Wales & Western,Wales,HC,EXT CVL DU - HC8,HC8,TME CVL,HC8001,TSM CVL,HC800101,195157.377779423,1033508456.10687
"13",,,,,,,,NON NETWORK RAIL WAL,XU,2133.75389608995,13876.2592738909
"14",Wales & Western,Wales,HC,Shrewsbury MDU,HC7,TME Shrewsbury,HC7056,TSM Shrewsbury,HC705604,404933.309549755,3068954309.90824
"15",North West & Central,LNW North,HR,Liverpool MDU - HR4,HR4,TME Mersey,HR4300,TSM Mersey,HR430030,271530.105933857,427618517.6458
"16",,,,,,,,NON NETWORK RAIL LNWN,XG,105.816625362904,84.1198140627212
"17",,,,,,,,NON NETWORK RAIL SCZ,XK,1471.94022783243,5066.83746096632
"18",,,,,,,,NON NETWORK RAIL SCZ,XK,870.215795528454,3359.76023625684
"19",,,,,,,,NON NETWORK RAIL SCZ,XK,837.650449402866,7313.09055274611
"20",,,,,,,,NON NETWORK RAIL SCZ,XK,4787.06663569415,17222.4686031732
"21",,,,,,,,NON NETWORK RAIL SCZ,XK,198.702872754266,185.94896516211
"22",,,,,,,,NON NETWORK RAIL SCZ,XK,341.233591550782,317.60774363003
"23",,,,,,,,NON NETWORK RAIL SCZ,XK,554.156708878992,6458.3242680136
"24",,,,,,,,NON NETWORK RAIL SCZ,XK,977.997819790139,17159.3244460161
"25",,,,,,,,NON NETWORK RAIL SCZ,XK,502.101162173485,8653.89482843257
"26",,,,,,,,NON NETWORK RAIL SCZ,XK,445.372280869285,886.057962841573
"27",,,,,,,,NON NETWORK RAIL SCZ,XK,390.966574243685,1108.39717692435
"28",,,,,,,,NON NETWORK RAIL SOU,XF,2241.20254539639,19726.6386774175
"29",,,,,,,,NON NETWORK RAIL WAL,XU,791.261295547176,1344.93099885672
"30",,,,,,,,NON NETWORK RAIL WEST,XD,1748.02747309447,11352.0540634968
"31",,,,,,,,NON NETWORK RAIL WEST,XD,2302.92238032168,2728.92913059146
"32",,,,,,,,NON NETWORK RAIL WEST,XD,172.564154096387,412.072737746582
"33",,,,,,,,NON NETWORK RAIL WEST,XD,3146.13765988689,3146.08409521878
"34",Wales & Western,Western,HD,Western Central MDU,HD6,TME Bristol,HD6070,TSM Parkway,HD607073,133473.123677847,696450994.109499
"35",,,,,,,,NON NETWORK RAIL SOU,XF,784.395652114285,756.196750537737
"36",,,,,,,,NON NETWORK RAIL SOU,XF,459.173046787973,2928.55559063332
"37",,,,,,,,E W and S RAILWAY,DE,1686.94975453182,23616.9216670273
"38",Wales & Western,Western,HD,Western Central MDU,HD6,TME Swindon,HD6072,TSM Swindon,HD607278,160352.073432819,1009213544.36101
"39",,,,,,,,NON NETWORK RAIL WEST,XD,403.839704432041,393.308685747087
"40",North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Worcester,HS6012,TSM Worcester,HS601201,208694.994343943,1169769253.72553
"41",,,,,,,,NON NETWORK RAIL WAL,XU,1070.63620610699,4198.95152686134
"42",,,,,,,,NON NETWORK RAIL WAL,XU,100.061884632896,103.457782492001
"43",,,,,,,,NON NETWORK RAIL WAL,XU,1013.27082081248,993.432549004244
"44",,,,,,,,NON NETWORK RAIL LNWS,XC,305.274881808455,340.006365933161
"45",,,,,,,,NON NETWORK RAIL LNWN,XG,283.355723417169,2248.4749110867
"46",,,,,,,,NON NETWORK RAIL LNWN,XG,1102.72046709281,23280.1905658796
"47",,,,,,,,NON NETWORK RAIL LNWN,XG,763.64827813739,2116.56449877198
"48",,,,,,,,NON NETWORK RAIL LNWS,XC,1820.42472557308,33857.5950015786
"49",,,,,,,,NON NETWORK RAIL LNWS,XC,1178.06217941099,20489.1005481797
"50",North West & Central,LNW North,HR,Manchester MDU - HR5,HR5,TME Manchester South,HR5002,TSM Wilmslow,HR500203,173080.614380362,752040675.206506
"51",,,,,,,,NON NETWORK RAIL LNWS,XC,2854.25478181799,119231.435315284
"52",,,,,,,,NON NETWORK RAIL LNWS,XC,1584.30918333637,16199.4519881543
"53",,,,,,,,NON NETWORK RAIL LNWS,XC,1096.4936566171,23330.9014555268
"54",,,,,,,,NON NETWORK RAIL LNWN,XG,142.619633022809,172.435399365369
"55",,,,,,,,NON NETWORK RAIL LNWN,XG,1076.59337526733,9563.36539414766
"56",,,,,,,,NON NETWORK RAIL LNWN,XG,1780.94879591512,36065.7976404125
"57",North West & Central,LNW North,HR,Manchester MDU - HR5,HR5,TME Manchester North,HR5001,TSM Victoria,HR500101,140845.533900958,271336728.193143
"58",,,,,,,,NON NETWORK RAIL LNWN,XG,4833.4977918826,61686.9885842294
"59",,,,,,,,NON NETWORK RAIL NE,XB,62876.815967277,68031.3408582167
"60",,,,,,,,NON NETWORK RAIL LNWN,XG,316.269634244686,2669.02345781357
"61",,,,,,,,NON NETWORK RAIL SCZ,XK,6958.54713830473,8180.46315817812
"62",,,,,,,,NON NETWORK RAIL SCZ,XK,1143.05074818992,7105.57007784136
"63",,,,,,,,NON NETWORK RAIL SCZ,XK,1075.5357373244,7464.72319662207
"64",,,,,,,,E W and S RAILWAY,DE,938.251941924983,10047.3950648192
"65",,,,,,,,NON NETWORK RAIL SOU,XF,570.528549693126,3621.1044189981
"66",,,,,,,,NON NETWORK RAIL SOU,XF,996.591772406668,1668.33973898944
"67",,,,,,,,NON NETWORK RAIL SOU,XF,553.133244169487,11074.1267854244
"68",,,,,,,,NON NETWORK RAIL SOU,XF,275.287966836513,230.982565247355
"69",,,,,,,,NON NETWORK RAIL WEST,XD,96.5046059257059,186.036725939145
"70",,,,,,,,E W and S RAILWAY,DE,996.276600895634,20345.9874452881
"71",Southern,Wessex,HW,Wessex Inner MDU,HW2,TME Feltham,HW2083,TSM Feltham,HW208321,127460.580724999,458621311.913409
"72",,,,,,,,E W and S RAILWAY,DE,2366.91534382767,52899.3672405725
"73",North West & Central,LNW South,HS,Bletchley MDU - HS8,HS8,TME Rugby,HS8003,TSM Rugby North,HS800308,82084.2044170762,219434650.630512
"74",,,,,,,,NON NETWORK RAIL LNWS,XC,5826.45920729448,130716.300088893
"75",,,,,,,,NON NETWORK RAIL LNWS,XC,602.124270891576,11544.5034403646
"76",,,,,,,,NON NETWORK RAIL LNWS,XC,811.303645751311,807.184449806377
"77",,,,,,,,NON NETWORK RAIL LNWS,XC,11222.1594758541,174273.994081094
"78",,,,,,,,NON NETWORK RAIL EMID,XZ,1879.16488719451,14990.1687744907
"79",,,,,,,,NON NETWORK RAIL EMID,XZ,1495.5678912933,2651.68036533751
"80",Eastern,East Midlands,HM,Derby MDU,HM9,TME Nottingham,HM9084,TSM Loscoe,HM908441,97817.3052275203,392874144.06017
"81",,,,,,,,NON NETWORK RAIL NE,XB,2466.62478672424,31831.5084088899
"82",Eastern,East Midlands,HM,Derby MDU,HM9,TME Nottingham,HM9084,Derby MDU - HM9,HM9,4800.78514668054,9993.36366681535
"83",Eastern,East Midlands,HM,Derby MDU,HM9,TME Leicester,HM9082,TSM Oakham,HM908223,220435.971509891,1328850040.88562
"84",,,,,,,,NON NETWORK RAIL NE,XB,437.433769044478,1157.04375533387
"85",,,,,,,,NON NETWORK RAIL NE,XB,687.896284935588,1965.43298456787
"86",,,,,,,,B.R.B. H.Q. (RA00),C,1515.88835259582,39513.2330186922
"87",,,,,,,,NON NETWORK RAIL NE,XB,2958.23209109033,66059.9037803454
"88",,,,,,,,NON NETWORK RAIL NE,XB,1418.44190461698,15487.8910980095
"89",,,,,,,,NON NETWORK RAIL NE,XB,1477.29270794855,6030.94968210112
"90",,,,,,,,NON NETWORK RAIL NE,XB,2256.49404944259,39510.3686357349
"91",Eastern,North and East,HF,York MDU - HF7,HF7,TME Knottingley,HF7062,TSM Knottingley East,HF706221,47525.0466185488,51522121.1100307
"92",,,,,,,,NON NETWORK RAIL EC,XE,2905.95822543928,53714.142259992
"93",,,,,,,,NON NETWORK RAIL EC,XE,2397.17457889227,79833.5583729012
"94",,,,,,,,NON NETWORK RAIL EC,XE,1017.88967589733,14266.7444483741
"95",,,,,,,,NON NETWORK RAIL NE,XB,1071.0269684696,7976.49697815836
"96",,,,,,,,NON NETWORK RAIL NE,XB,4895.26330421164,450956.653567226
"97",,,,,,,,NON NETWORK RAIL NE,XB,2060.35638376144,8591.66184429877
"98",,,,,,,,NON NETWORK RAIL NE,XB,1685.5696716562,49856.6810815229
"99",,,,,,,,NON NETWORK RAIL NE,XB,1516.02438092758,7386.28240760299
"100",,,,,,,,NON NETWORK RAIL NE,XB,1293.05463322141,12025.6219909472
"101",,,,,,,,NON NETWORK RAIL NE,XB,2372.58500547693,80873.2094439441
"102",,,,,,,,NON NETWORK RAIL NE,XB,1156.71715725441,6641.83642282244
"103",,,,,,,,NON NETWORK RAIL NE,XB,6014.8594970018,10986.8011225662
"104",,,,,,,,NON NETWORK RAIL EC,XE,1677.86102092482,32062.4269939776
"105",,,,,,,,E W and S RAILWAY,DE,1184.47421004828,12153.4297780861
"106",,,,,,,,NON NETWORK RAIL SOU,XF,2501.16902928988,32714.8730302148
"107",Eastern,East Midlands,HM,Bedford MDU,HM8,TME Luton,HM8085,TSM Cricklewood,HM808511,87315.7307245127,130567842.945741
"108",,,,,,,,NON NETWORK RAIL SOU,XF,811.004136612915,4982.76218366207
"109",,,,,,,,NON NETWORK RAIL ANG,XH,396.093480067202,2406.28304111197
"110",Eastern,Anglia,HT,Romford MDU,HT6,TME Romford,HT6001,TSM Liverpool Street,HT600130,21323.4801296939,5842240.61842552
"111",,,,,,,,NON NETWORK RAIL ANG,XH,1241.74584333216,8511.70668895371
"112",,,,,,,,NON NETWORK RAIL SOU,XF,2317.39287795915,24893.3175038698
"113",,,,,,,,NON NETWORK RAIL SOU,XF,151.448015545794,405.509571496764
"114",,,,,,,,NON NETWORK RAIL SOU,XF,108.379045955677,326.242231875657
"115",Southern,Kent,HK,Ashford MDU,HK6,TME Faversham,HK6045,TSM NOT KENT NWR MTC,HK6999,678.688999287769,6571.43046702156
"116",Southern,Kent,HK,Orpington MDU,HK5,TME Tonbridge,HK5040,TSM Tonbridge,HK504012,222191.710561464,1254619336.61954
"117",Southern,Kent,HK,Ashford MDU,HK6,TME Faversham,HK6045,TSM Medway,HK604508,324604.402279218,586141723.444761
"118",Southern,Kent,HK,Ashford MDU,HK6,TME Faversham,HK6045,TSM East Kent,HK604515,167572.55022375,938935767.229925
"119",Eastern,East Coast,HE,Peterborough MDU - HE2,HE2,TME Peterborough,HE2022,TSM Peterborough Sth,HE202221,115161.589196717,159129178.292755
"120",,,,,,,,NON NETWORK RAIL EC,XE,1573.68759169812,83226.3297536954
"121",Eastern,Anglia,HT,Tottenham MDU,HT8,TME Tottenham,HT8036,TSM Broxbourne,HT803610,268413.897412845,1970486533.46988
"122",Eastern,Anglia,HT,Tottenham MDU,HT8,TME Ely,HT8035,TSM Ely,HT803502,316462.801955256,1756265936.62363
"123",,,,,,,,NON NETWORK RAIL ANG,XH,863.214208944051,10271.9517531301
"124",,,,,,,,NON NETWORK RAIL SOU,XF,563.614234405574,7691.06883909941
"125",,,,,,,,NON NETWORK RAIL SOU,XF,3421.32334700499,95477.2597176246
"126",,,,,,,,NON NETWORK RAIL ANG,XH,318.913615945422,1581.89190434338
"127",,,,,,,,NON NETWORK RAIL ANG,XH,1105.04515219664,3453.79520664191
"128",,,,,,,,NON NETWORK RAIL ANG,XH,1534.06094342855,7020.96189002592
"129",Wales & Western,Western,HD,Western West MDU,HD8,TME Plymouth,HD8075,TSM Truro,HD807584,539784.853581647,1618928579.9182
"130",,,,,,,,E W and S RAILWAY,DE,1700.65830804385,39850.3691990023
"131",,,,,,,,NON NETWORK RAIL SCZ,XK,417.269521359017,745.997300185556
"132",,,,,,,,NON NETWORK RAIL SCZ,XK,751.435340474598,2461.05152613456
"133",,,,,,,,NON NETWORK RAIL SCZ,XK,2929.85607039976,21505.7581802921
"134",Scotland,Scotland,HL,Glasgow MDU,HL5,TME Glasgow,HL5003,TSM Fort William,HL500304,913923.610269936,6670655973.69922
"135",Scotland,Scotland,HL,Perth MDU,HL2,TME Inverness,HL2004,TSM Helmsdale,HL200403,1463406.86339466,10564125304.5268
"136",,,,,,,,NON NETWORK RAIL WEST,XD,351.112129716102,2437.432110318
"137",Southern,Wessex,HW,Wessex Outer MDU,HW4,TME Salisbury,HW4086,TSM Yeovil,HW408662,334329.840829628,3135900225.1009
"138",,,,,,,,NON NETWORK RAIL WAL,XU,2624.51377821472,14776.6264641961
"139",,,,,,,,NON NETWORK RAIL WAL,XU,1636.13941209336,21862.5733574248
"140",,,,,,,,E W and S RAILWAY,DE,1596.06995551162,9988.23619031157
"141",,,,,,,,NON NETWORK RAIL WAL,XU,3356.35029646175,35303.5506698078
"142",,,,,,,,NON NETWORK RAIL WAL,XU,20435.5656082266,102091.146507876
"143",,,,,,,,NON NETWORK RAIL LNWN,XG,1596.64174913667,25771.7333109472
"144",Scotland,Scotland,HL,Motherwell MDU,HL4,TME Motherwell,HL4005,TSM Dumfries,HL400504,570871.874074631,5346819524.59224
"145",,,,,,,,NON NETWORK RAIL SCZ,XK,2671.89345430935,66142.2010774479
"146",,,,,,,,NON NETWORK RAIL SCZ,XK,6534.42263815229,8896.36815785584
"147",,,,,,,,NON NETWORK RAIL SCZ,XK,331.964478382027,284.893578706358
"148",,,,,,,,NON NETWORK RAIL SCZ,XK,1068.22643759117,5751.15142968254
"149",,,,,,,,NON NETWORK RAIL SCZ,XK,278.080277122779,246.902781672802
"150",Scotland,Scotland,HL,Motherwell MDU,HL4,TME Motherwell,HL4005,TSM Carstairs,HL400502,342756.200244275,3613034128.03691
"151",,,,,,,,NON NETWORK RAIL SCZ,XK,1147.39076178875,4043.68651135846
"152",,,,,,,,NON NETWORK RAIL SCZ,XK,1687.54524375425,39295.8553380962
"153",,,,,,,,NON NETWORK RAIL SCZ,XK,469.339868659149,429.580669209764
"154",,,,,,,,NON NETWORK RAIL SCZ,XK,380.035358558038,737.626178133836
"155",,,,,,,,NON NETWORK RAIL SCZ,XK,3245.09803820811,50237.8751702378
"156",,,,,,,,NON NETWORK RAIL SCZ,XK,1506.07731989655,28519.2400696331
"157",,,,,,,,NON NETWORK RAIL SCZ,XK,1789.60156882391,43762.3679048135
"158",,,,,,,,NON NETWORK RAIL SCZ,XK,832.370651443584,4048.51926880104
"159",,,,,,,,NON NETWORK RAIL SCZ,XK,193.34955607972,172.513483994078
"160",,,,,,,,NON NETWORK RAIL SCZ,XK,3754.18500628539,11054.7041437677
"161",Scotland,Scotland,HL,Perth MDU,HL2,TME Inverness,HL2004,TSM Inverness,HL200401,451662.579038309,6236873792.58656
"162",,,,,,,,NON NETWORK RAIL SCZ,XK,1355.44668935805,9513.38931675816
"163",,,,,,,,NON NETWORK RAIL SCZ,XK,1229.39347492106,3328.84424561583
"164",,,,,,,,NON NETWORK RAIL SCZ,XK,116.108025088354,106.572870293596
"165",,,,,,,,NON NETWORK RAIL SCZ,XK,14520.286021366,14498.2915403312
"166",,,,,,,,NON NETWORK RAIL WEST,XD,828.523833534959,954.371731492418
"167",,,,,,,,NON NETWORK RAIL WEST,XD,1080.55779558029,24907.7832638015
"168",,,,,,,,NON NETWORK RAIL LNWS,XC,355.473431185932,1243.70536025968
"169",North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Saltley,HS6011,TSM Saltley,HS601103,142849.869007694,618583121.154699
"170",North West & Central,LNW South,HS,Saltley MDU - HS6,HS6,TME Saltley,HS6011,TSM Whitacre,HS601101,139866.807588222,308488128.504666
"171",,,,,,,,NON NETWORK RAIL WAL,XU,1684.15751707577,4924.96034790014
"172",,,,,,,,NON NETWORK RAIL WAL,XU,698.013509385785,9033.06755523017
"173",,,,,,,,NON NETWORK RAIL LNWS,XC,2399.2936071658,27640.6740855113
"174",,,,,,,,NON NETWORK RAIL LNWN,XG,4562.93802351621,106286.12506308
"175",North West & Central,LNW North,HR,Liverpool MDU - HR4,HR4,TME Crewe,HR4100,TSM Crewe South,HR410011,66310.3416372881,77497977.3944818
"176",,,,,,,,NON NETWORK RAIL LNWS,XC,568.95421262182,1430.92364576946
"177",,,,,,,,NON NETWORK RAIL LNWN,XG,3252.27608085715,81114.1588040155
"178",,,,,,,,NON NETWORK RAIL LNWS,XC,697.331316245504,1594.85379701036
"179",Eastern,East Midlands,HM,Derby MDU,HM9,TME Derby,HM9083,TSM Burton,HM908331,183026.076437891,806994198.614685
"180",Eastern,North and East,HF,Sheffield MDU - HF4,HF4,TME Sheffield,HF4024,TSM Sheffield South,HF402441,156320.694431128,525872536.280186
"181",,,,,,,,NON NETWORK RAIL LNWN,XG,1732.4954907342,1712.84132544321
"182",,,,,,,,NON NETWORK RAIL LNWN,XG,454.36575434564,2449.3280494264
"183",,,,,,,,NON NETWORK RAIL LNWN,XG,808.916313161236,3956.47648572044
"184",,,,,,,,NON NETWORK RAIL LNWN,XG,5055.10919305538,39041.0677586253
"185",Eastern,North and East,HF,Sheffield MDU - HF4,HF4,TME Sheffield,HF4024,TSM Sheffield North,HF402440,166319.277075704,527500633.632884
"186",,,,,,,,NON NETWORK RAIL LNWN,XG,608.43651999117,2189.26324131673
"187",,,,,,,,NON NETWORK RAIL LNWN,XG,2226.68682676385,39928.5931621082
"188",,,,,,,,Wensleydale Rly Co.,XP,69832.7625011402,71478.5418576571
"189",,,,,,,,NON NETWORK RAIL SCZ,XK,4161.9179547894,60511.1923865122
"190",,,,,,,,NON NETWORK RAIL SCZ,XK,455.22628850492,2582.43707330391
"191",,,,,,,,NON NETWORK RAIL SCZ,XK,653.107503608993,2238.14117606073
"192",,,,,,,,NON NETWORK RAIL SCZ,XK,319.97078580467,969.081603072541
"193",,,,,,,,NON NETWORK RAIL SCZ,XK,539.692413568442,2416.46342764698
"194",Southern,Sussex,HU,Brighton MDU,HU4,TME Brighton South,HU4053,TSM Barnham,HU405309,224607.630788141,910409400.074567
"195",,,,,,,,NON NETWORK RAIL SOU,XF,742.409655344869,3003.88022919246
"196",Southern,Wessex,HW,Wessex Outer MDU,HW4,TME Eastleigh,HW4085,TSM Southampton,HW408553,201830.882457156,295435411.207342
"197",,,,,,,,NON NETWORK RAIL SOU,XF,3225.487810189,25634.7748762887
"198",,,,,,,,NON NETWORK RAIL WEST,XD,528.770228469073,1244.51679727329
"199",North West & Central,LNW South,HS,Euston MDU - HS9,HS9,TME Watford,HS9002,TSM Watford,HS900203,122667.749759421,411062005.027565
"200",Wales & Western,Western,HD,Western East MDU,HD7,TME West Ealing,HD7074,TSM West Ealing,HD707482,61524.417255952,113229149.74326
"201",,,,,,,,NON NETWORK RAIL WEST,XD,306.474852194937,2635.26924862814
"202",North West & Central,LNW South,HS,Bletchley MDU - HS8,HS8,TME Rugby,HS8003,TSM Rugby South,HS800307,98746.8456547921,372562282.685374
"203",,,,,,,,NON NETWORK RAIL LNWS,XC,1287.27895520658,10772.133134398
"204",North West & Central,LNW South,HS,Bletchley MDU - HS8,HS8,TME Bletchley,HS8002,TSM Leighton Buzzard,HS800204,109653.68630165,345940222.921338
"205",Eastern,East Midlands,HM,Bedford MDU,HM8,TME Bedford,HM8081,TSM Bedford,HM808112,138492.090626914,612465020.617643
"206",,,,,,,,NON NETWORK RAIL LNWS,XC,3391.99744962266,14724.8455589075
"207",,,,,,,,NON NETWORK RAIL EMID,XZ,213.744223400485,1002.06014835036
"208",,,,,,,,NON NETWORK RAIL EMID,XZ,426.131278469132,1761.93550790909
"209",,,,,,,,NON NETWORK RAIL EMID,XZ,2832.33835013938,95986.8932720018
"210",,,,,,,,NON NETWORK RAIL EMID,XZ,133.381927940927,95.3858443184378
"211",,,,,,,,NON NETWORK RAIL NE,XB,2071.6126574982,22031.7433089137
"212",,,,,,,,NON NETWORK RAIL EMID,XZ,324.342927961455,647.274897791071
"213",,,,,,,,NON NETWORK RAIL EMID,XZ,1089.04713075573,9061.78444446953
"214",Eastern,East Midlands,HM,Derby MDU,HM9,TME Leicester,HM9082,TSM Leicester,HM908222,143851.380789121,947357430.656564
"215",Eastern,East Midlands,HM,Derby MDU,HM9,TME Lincoln,HM9025,TSM Sleaford,HM902553,415365.1081515,3291057499.88045
"216",,,,,,,,NON NETWORK RAIL NE,XB,1343.46159875142,16865.3224916739
"217",,,,,,,,NON NETWORK RAIL NE,XB,84.8565531694641,157.846250400227
"218",,,,,,,,NON NETWORK RAIL NE,XB,581.241155086579,2429.86251862429
"219",,,,,,,,NON NETWORK RAIL NE,XB,1984.23645287017,5973.81755351425
"220",,,,,,,,NON NETWORK RAIL NE,XB,1358.55550822701,10235.1635600455
"221",,,,,,,,NON NETWORK RAIL NE,XB,550.212054193236,2796.90354956047
"222",,,,,,,,NON NETWORK RAIL EC,XE,2327.14285571157,56205.2556071036
"223",,,,,,,,NON NETWORK RAIL NE,XB,2861.25131040573,49792.5005686316
"224",,,,,,,,NON NETWORK RAIL EC,XE,734.696050634576,2517.28586168727
"225",,,,,,,,NON NETWORK RAIL NE,XB,3704.04199678062,118396.444068235
"226",Eastern,East Coast,HE,Doncaster MDU - HE3,HE3,TME Doncaster,HE3023,TSM Doncaster West,HE302332,128841.758214223,370844077.241129
